timestamp_utc,scenario_type,setup_type,setup_status,quality_label,decision,paper_outcome,realized_rr,edge_eligible,brain_status,brain_mode
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,BREAKOUT,LONG_BREAKOUT,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,WIN_TP1,0.7098,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,LONG,WIN_TP1,0.5511,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,CONTINUATION,SHORT_CONTINUATION,READY_FOR_PLAN,MEDIUM_QUALITY,SHORT,WIN_TP1,0.9427,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,CONTINUATION,LONG_CONTINUATION,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,WIN_TP2,2.7512,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,LONG,WIN_TP1,0.8441,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,LONG,WIN_TP2,2.5769,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,REVERSAL,SHORT_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,SHORT,LOSS,-1.0,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,AMBIGUOUS,,False,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,CONTINUATION,SHORT_CONTINUATION,READY_FOR_PLAN,HIGH_QUALITY,SHORT,WIN_TP1,0.9769,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,BREAKOUT,LONG_BREAKOUT,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,WIN_TP2,2.0609,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,CONTINUATION,LONG_CONTINUATION,READY_FOR_PLAN,HIGH_QUALITY,LONG,LOSS,-1.0,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,LOSS,-1.0,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,CONTINUATION,LONG_CONTINUATION,READY_FOR_PLAN,HIGH_QUALITY,LONG,AMBIGUOUS,,False,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,BREAKDOWN,SHORT_BREAKDOWN,READY_FOR_PLAN,MEDIUM_QUALITY,SHORT,WIN_TP1,0.5492,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,LOSS,-1.0,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,CONTINUATION,LONG_CONTINUATION,READY_FOR_PLAN,HIGH_QUALITY,LONG,WIN_TP1,0.7005,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,REVERSAL,SHORT_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,SHORT,LOSS,-1.0,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,BREAKOUT,LONG_BREAKOUT,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,LOSS,-1.0,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,REVERSAL,SHORT_REVERSAL,READY_FOR_PLAN,HIGH_QUALITY,SHORT,LOSS,-1.0,True,READY,PAPER_SHORT
2026-05-10T22:03:08Z,REVERSAL,LONG_REVERSAL,READY_FOR_PLAN,MEDIUM_QUALITY,LONG,WIN_TP2,2.0543,True,READY,PAPER_LONG
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,MEDIUM_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,LOW_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
2026-05-10T22:03:08Z,NO_SETUP,NO_SETUP,NO_SETUP,HIGH_QUALITY,NO_TRADE,NO_TRADE,,False,IDLE,PAPER_IDLE
